iter	Passed	Remaining
404	5705	8381
405	5720	8368
406	5734	8355
407	5752	8346
408	5767	8333
409	5780	8318
410	5795	8305
411	5811	8294
412	5826	8281
413	5844	8272
414	5860	8261
415	5876	8250
416	5891	8236
417	5905	8222
418	5919	8208
419	5933	8194
420	5949	8181
421	5962	8166
422	5977	8153
423	5990	8138
424	6004	8123
425	6016	8107
426	6028	8089
427	6041	8074
428	6054	8058
429	6070	8046
430	6090	8040
431	6107	8030
432	6130	8027
433	6146	8016
434	6161	8003
435	6176	7989
436	6191	7976
437	6204	7961
438	6217	7945
439	6232	7932
440	6246	7917
441	6259	7902
442	6272	7886
443	6287	7874
444	6306	7865
445	6323	7854
446	6338	7841
447	6352	7827
448	6369	7816
449	6385	7804
450	6400	7791
451	6413	7775
452	6426	7760
453	6439	7744
454	6454	7731
455	6468	7716
456	6483	7703
457	6495	7686
458	6507	7670
459	6520	7653
460	6532	7637
461	6544	7620
462	6554	7602
463	6567	7586
464	6579	7569
465	6594	7556
466	6605	7538
467	6617	7522
468	6629	7505
469	6640	7488
470	6653	7472
471	6667	7458
472	6681	7444
473	6696	7430
474	6708	7415
475	6721	7398
476	6734	7383
477	6748	7369
478	6760	7352
479	6771	7336
480	6787	7323
481	6800	7308
482	6812	7292
483	6824	7275
484	6836	7259
485	6848	7243
486	6863	7229
487	6877	7215
488	6889	7198
489	6900	7182
490	6912	7165
491	6923	7148
492	6934	7131
493	6946	7115
494	6959	7099
495	6971	7083
496	6983	7068
497	6997	7053
498	7010	7038
499	7021	7021
500	7032	7004
501	7045	6988
502	7057	6973
503	7068	6956
504	7081	6940
505	7092	6924
506	7104	6907
507	7116	6892
508	7128	6876
509	7140	6860
510	7150	6842
511	7163	6827
512	7179	6815
513	7189	6798
514	7199	6780
515	7211	6764
516	7223	6748
517	7236	6733
518	7247	6716
519	7258	6700
520	7272	6686
521	7283	6669
522	7297	6656
523	7310	6640
524	7322	6625
525	7336	6611
526	7349	6596
527	7361	6580
528	7373	6564
529	7386	6550
530	7399	6535
531	7410	6519
532	7421	6502
533	7431	6485
534	7442	6468
535	7455	6453
536	7466	6437
537	7477	6421
538	7490	6406
539	7503	6392
540	7522	6382
541	7539	6371
542	7553	6357
543	7569	6345
544	7585	6332
545	7603	6322
546	7617	6308
547	7634	6296
548	7653	6287
549	7670	6276
550	7687	6264
551	7704	6252
552	7718	6238
553	7731	6224
554	7743	6208
555	7757	6194
556	7770	6180
557	7782	6164
558	7795	6149
559	7806	6133
560	7819	6118
561	7831	6103
562	7845	6089
563	7857	6074
564	7870	6059
565	7886	6046
566	7898	6031
567	7910	6016
568	7921	6000
569	7933	5985
570	7945	5969
571	7956	5953
572	7967	5937
573	7979	5921
574	7992	5907
575	8004	5891
576	8017	5877
577	8028	5861
578	8039	5845
579	8052	5831
580	8064	5815
581	8075	5799
582	8089	5786
583	8101	5770
584	8113	5755
585	8126	5741
586	8139	5726
587	8152	5712
588	8164	5696
589	8175	5681
590	8187	5666
591	8200	5651
592	8213	5637
593	8226	5622
594	8238	5607
595	8250	5592
596	8264	5578
597	8276	5563
598	8289	5549
599	8300	5533
600	8314	5520
601	8326	5504
602	8338	5489
603	8351	5475
604	8364	5461
605	8375	5445
606	8387	5430
607	8400	5415
608	8412	5401
609	8424	5385
610	8434	5370
611	8446	5354
612	8458	5340
613	8470	5325
614	8483	5310
615	8496	5296
616	8508	5281
617	8520	5266
618	8532	5252
619	8545	5237
620	8555	5221
621	8568	5207
622	8581	5192
623	8593	5178
624	8604	5162
625	8619	5149
626	8634	5136
627	8648	5123
628	8664	5110
629	8679	5097
630	8694	5084
631	8709	5071
632	8724	5058
633	8741	5046
634	8754	5032
635	8768	5018
636	8783	5005
637	8797	4991
638	8809	4977
639	8823	4963
640	8837	4949
641	8852	4936
642	8867	4923
643	8881	4909
644	8894	4895
645	8906	4880
646	8918	4865
647	8931	4851
648	8944	4837
649	8959	4824
650	8975	4811
651	8988	4797
652	9001	4783
653	9015	4769
654	9029	4755
655	9042	4741
656	9056	4728
657	9069	4713
658	9081	4699
659	9092	4684
660	9104	4669
661	9115	4654
662	9128	4640
663	9142	4626
664	9156	4612
665	9168	4597
666	9180	4583
667	9193	4569
668	9206	4554
669	9220	4541
670	9234	4527
671	9245	4512
672	9258	4498
673	9272	4484
674	9285	4471
675	9300	4457
676	9312	4442
677	9325	4428
678	9339	4415
679	9352	4400
680	9366	4387
681	9380	4373
682	9394	4360
683	9408	4346
684	9422	4333
685	9441	4321
686	9456	4308
687	9472	4295
688	9488	4282
689	9502	4269
690	9518	4256
691	9532	4242
692	9548	4230
693	9563	4216
694	9575	4202
695	9588	4188
696	9601	4173
697	9613	4159
698	9626	4145
699	9638	4130
700	9652	4117
701	9665	4102
702	9680	4089
703	9696	4077
704	9713	4064
705	9729	4051
706	9745	4038
707	9761	4025
708	9782	4015
709	9796	4001
710	9810	3987
711	9824	3973
712	9840	3960
713	9856	3948
714	9874	3935
715	9889	3922
716	9904	3909
717	9919	3896
718	9934	3882
719	9946	3868
720	9957	3853
721	9971	3839
722	9984	3825
723	9997	3811
724	10008	3796
725	10021	3782
726	10034	3768
727	10047	3754
728	10059	3739
729	10072	3725
730	10085	3711
731	10097	3696
732	10108	3682
733	10120	3667
734	10133	3653
735	10145	3639
736	10156	3624
737	10170	3610
738	10183	3596
739	10198	3583
740	10211	3569
741	10226	3555
742	10239	3541
743	10255	3528
744	10271	3515
745	10284	3501
746	10299	3488
747	10311	3473
748	10323	3459
749	10335	3445
750	10347	3430
751	10360	3416
752	10371	3401
753	10384	3388
754	10396	3373
755	10407	3359
756	10419	3344
757	10431	3330
758	10444	3316
759	10456	3302
760	10468	3287
761	10479	3273
762	10490	3258
763	10503	3244
764	10515	3230
765	10528	3216
766	10540	3201
767	10552	3187
768	10563	3173
769	10577	3159
770	10590	3145
771	10602	3131
772	10613	3116
773	10627	3103
774	10640	3089
775	10653	3075
776	10665	3060
777	10680	3047
778	10694	3034
779	10708	3020
780	10720	3006
781	10730	2991
782	10742	2977
783	10754	2962
784	10767	2948
785	10779	2934
786	10790	2920
787	10801	2906
788	10813	2891
789	10825	2877
790	10837	2863
791	10850	2849
792	10861	2835
793	10874	2821
794	10886	2807
795	10899	2793
796	10910	2778
797	10922	2764
798	10934	2750
799	10945	2736
800	10958	2722
801	10970	2708
802	10981	2694
803	10994	2680
804	11007	2666
805	11022	2652
806	11033	2638
807	11044	2624
808	11056	2610
809	11068	2596
810	11080	2582
811	11092	2568
812	11103	2553
813	11115	2539
814	11127	2525
815	11140	2511
816	11151	2497
817	11164	2483
818	11176	2470
819	11189	2456
820	11202	2442
821	11214	2428
822	11226	2414
823	11237	2400
824	11251	2386
825	11264	2372
826	11276	2358
827	11288	2344
828	11301	2331
829	11312	2317
830	11324	2303
831	11336	2289
832	11348	2275
833	11360	2261
834	11373	2247
835	11384	2233
836	11397	2219
837	11408	2205
838	11421	2191
839	11433	2177
840	11445	2163
841	11457	2149
842	11470	2136
843	11482	2122
844	11494	2108
845	11508	2094
846	11521	2081
847	11536	2067
848	11549	2054
849	11562	2040
850	11574	2026
851	11587	2012
852	11598	1998
853	11610	1984
854	11621	1970
855	11634	1957
856	11646	1943
857	11658	1929
858	11673	1916
859	11687	1902
860	11700	1888
861	11712	1875
862	11724	1861
863	11735	1847
864	11746	1833
865	11760	1819
866	11773	1806
867	11786	1792
868	11798	1778
869	11810	1764
870	11821	1750
871	11834	1737
872	11846	1723
873	11858	1709
874	11869	1695
